,Radix Sort(Base 10),Radix Sort(Base 2^16),Merge Sort,Shell Sort,Shell Sort Knuth's Sequence,Quick Sort(Median of Three),Quick Sort(Median of Five),Quick Sort(Median of Seven),STL Sort
122000,41048,8994,60993,71046,66010,58955,85959,89994,196000,57998
123000,47996,10000,55041,78997,62003,51002,68999,86018,78453,40000
124000,45002,10002,54998,72049,64950,47996,72997,88000,73998,41051
125000,40000,8000,58948,70049,68950,49193,78958,94997,74998,39998
126000,41001,9000,54998,74999,63036,49961,72000,89996,78999,40998
127000,40000,9034,55006,84960,70995,50040,72003,89999,96958,42038
128000,41047,8997,56956,104952,81040,53996,73955,90997,81000,45045
129000,43982,10000,66993,84999,85003,58039,81953,100950,87032,44997
130000,46002,16013,96986,83004,87033,51949,73034,91958,80998,47998
131000,46012,9955,59997,79998,70999,52997,76000,91997,84998,43999
132000,43001,10016,57996,89050,97019,54001,82012,98961,86995,45997
133000,46031,10003,64965,86034,80966,60008,79042,96995,86943,47002
134000,47952,10997,83043,112956,74034,59018,87927,107001,101999,44040
135000,44949,8997,75992,89004,80994,59998,87996,118044,82998,44005
136000,45001,9965,64047,83021,87970,58987,82997,97999,81995,45000
137000,44986,11999,64040,75996,71000,54038,81957,97997,84046,45993
138000,46009,9007,69995,85011,73019,57028,82161,97999,83001,44958
139000,44039,8993,64002,81956,85048,55953,82996,109996,92998,47999
140000,49043,9960,67998,91999,82997,66008,87999,122963,85998,48001
141000,46998,8999,65043,81979,81999,61649,87991,120952,110000,114986
142000,50997,9998,72999,84999,88046,61991,123954,113058,111989,47002
143000,48957,11028,69998,82957,93038,62964,91036,104000,87955,48999
144000,50031,10000,68948,88036,87960,58997,86050,106736,95000,46959
145000,48997,9998,65033,85003,79999,56999,83001,104474,98038,48959
146000,47000,9999,64996,88997,81041,77957,104955,117036,93958,47998
147000,52971,9997,67998,83999,78000,58998,94996,126026,93997,53011
148000,54981,13002,66003,94002,81999,60975,87033,113994,92000,50948
149000,54001,10000,71015,97995,88039,60960,85997,109047,99990,49963
150000,49001,10003,68958,87999,80002,62999,112998,152033,126958,55006
151000,63003,16029,69965,87999,102002,65990,109037,113022,95940,56986
152000,49008,9998,69032,93613,80950,61041,91010,114995,101989,50009
153000,48997,9998,69962,96950,82996,61041,88002,136961,92998,49998
154000,51033,11000,77995,90958,83004,65998,103034,140001,96950,57997
155000,49995,9998,78001,114953,85000,67999,103999,117997,106000,54995
